#STABLE_TRANSFER
#SS	#Average	#Lower		#Upper	
8	3969.935	3841.336304	4098.533696
10	3630.285	3525.931522	3734.638478
12	3367.115	3261.147579	3473.082421
14	3252.14		3162.944494	3341.335506
16	3044.72		2963.831543	3125.60779







#RANDOM
8	4162.587	4053.0792424351	4272.0947575649
10	3699.2566666667	3587.1016291763	3811.4117041571
12	3464.344	3389.3885307429	3539.2994692572
14	3262.483	3156.2418882315	3368.7241117685
16	4229.31		4142.8841272273	4315.7358727728








#CENTRALIZED
8	14560.28667	14384.20236	14736.37097
10	14531.25333	14345.41785	14717.08882
12	14494.11333	14276.54676	14711.67991
14	14421.09333	14226.22147	14615.96519
16	14585.23667	14387.23736	14783.23597
